La Roche-Posay,La Roche-Posay,Skintegra,Skintegra,Skintegra,Eucerine,no-brand,Biobaza,Umberto Gianini
Toleriane Dermallergo Crème,cicaplast baume,spectra serum,una cream,cica-cera cream,hyalurone filler serum,guma generalno,winter magic spicy bundt cake krema za ruke,Detangler Leave-in conditioner
reakcija,nema rekacije,reakcija,nema reakcije,nemra reakcije,reakcija,reakcija,mozda,mozda
"crvenilo odmah, natecene oci drugi dan",smiruje,pogorša postojece simptome,smiruje,smiruje,blago pogorša crvenilo,jaka reakcija od naocala i mozda slusalica,mozda na rukama,mozda na vratu i rukama
AQUA / WATER / EAU,AQUA / WATER / EAU,AQUA,AQUA,AQUA,Aqua,Diphenylguanidine,AQUA,Aqua
ISOCETYL STEARATE,HYDROGENATED POLYISOBUTENE,COCO-CAPRYLATE,COCO-CAPRYLATE,CAPRYLIC/CAPRIC TRIGLYCERIDE,alcohol denat.,Zinc dibutyldithiocarbamate,PRUNUS AMYGDALUS DULCIS (ALMOND) OIL,Amodimethicone
SQUALANE,DIMETHICONE,METHYLPROPANEDIOL,METHYLPROPANEDIOL,PANTHENOL,butylene glycol,Zinc diethyldithiocarbamate,GLYCERIN,Polysorbate 20
BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,GLYCERIN,GLYCERIN,CAPRYLIC/CAPRIC TRIGLYCERIDE,CAPRYLIC/CAPRIC/SUCCINIC TRIGLYCERIDE,glycerin,phenol-formaldehyde,CETEARYL ALCOHOL,Sodium Benzoate
DIMETHICONE,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,ISOAMYL LAURATE,SQUALANE,CAPRYLYL CAPRYLATE/CAPRATE,sodium hyaluronate,benzoyl peroxide,BUTYROSPERMUM PARKII (SHEA) BUTTER,Fragrance (Parfum)
GLYCERIN,PANTHENOL,GLYCERYL STEARATE CITRATE,DIISOSTEAROYL POLYGLYCERYL- 3 DIMER DILINOLEATE,BETAINE,PEG-40 hydrogenated castor oil,2-Mercaptobenzothiazole,GLYCERYL STEARATE,Cetrimonium Chloride
ZEA MAYS STARCH / CORN STARCH,ZEA MAYS STARCH / CORN STARCH,BUTYROSPERMUM PARKII BUTTER,BETAINE,PENTYLENE GLYCOL,caprylyl glycol,N-cyclohexyl-2-benzothiazolesulfenamide,STEARIC ACID,Trideceth-12
PENTYLENE GLYCOL,PROPANEDIOL,PANTHENOL,GLYCERIN,DIMETHICONE,sodium ascorbyl phosphate,Dibenzothiazyl disulfide,TOCOPHERYL ACETATE,Polyquaternium-22
BUTYLENE GLYCOL,BUTYLENE GLYCOL,RESVERATROL,PHOSPHOLIPIDS,GLYCERYL STEARATE CITRATE,citric acid,Morpholinylmercaptobenzothiazole,PHENETHYL ALCOHOL,Citric Acid
GLYCERYL STEARATE,CETYL PEG/PPG-10/1 DIMETHICONE,CAMELLIA SINENSIS LEAF EXTRACT,SPHINGOLIPIDS,GLYCERIN,Butylated Hydroxytoluene,Tetramethylthiuram monosulfide,AROMA*,Potassium Sorbate
PEG-100 STEARATE,TRIHYDROXYSTEARIN,LECITHIN,PANTHENOL,ARACHIDYL ALCOHOL,parfum,Tetramethylthiuram disulfide,SESAMUM INDICUM SEED OIL,Polyquaternium-11
CETYL ALCOHOL,CENTELLA ASIATICA LEAF EXTRACT,ALLANTOIN,MAGNESIUM CARBOXYMETHYL BETA-GLUCAN,GLYCERYL STEARATE,,Tetraethylthiuram disulfide,CARBOMER,Trisodium Ethylenediamine Disuccinate
SALVIA MILTIORRHIZA ROOT EXTRACT,POLYMNIA SONCHIFOLIA ROOT JUICE,SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,MAGNESIUM SULFATE,CERAMIDE NP,,Dipentamethylenethiuram disulfide,CAPRYLYL GLYCOL,Glycerin
DIMETHICONOL,ZINC GLUCONATE,CYANOCOBALAMIN,HYDROGENATED RAPESEED OIL,CERAMIDE AP,,Hexamethylenetetramine (methenamine),ALOE BARBADENSIS LEAF JUICE,Phenoxyethanol
SODIUM HYDROXIDE,MADECASSOSIDE,ISOHEXADECANE,BISABOLOL,MADECASSOSIDE,,dibutylthiourea,CETEARETH-20,Carica Papaya (Papaya) Fruit Extract
SPHINGOMONAS FERMENT EXTRACT,MANGANESE GLUCONATE,CARBOMER,PENTYLENE GLYCOL,COLLOIDAL OATMEAL,,phenol-formaldehyde resin,PANTHENOL,Cocos Nucifera (Coconut) Fruit Extract
CAPRYLYL GLYCOL,ALPHA-GLUCAN OLIGOSACCHARIDE,XANTHAN GUM,SODIUM LEVULINATE,ASIATIC ACID,,benzoyl peroxide,SODIUM C14-16 OLEFIN SULFONATE,Ficus Carica (Fig) Fruit Extract
CITRIC ACID,SILICA,CAPRYLYL GLYCOL,HYDROGENATED CASTOR OIL,MADECASSIC ACID,,amines,CETEARETH-12,Garcinia Mangostana Fruit Extract
ACETYL DIPEPTIDE-1 CETYL ESTER,ALUMINUM HYDROXIDE,POLYSORBATE 80,SODIUM ANISATE,CERAMIDE EOP,,,CETEARYL ALCOHOL,Mangifera Indica (Mango) Fruit Extract
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER (F.I.L. N279638/1).,MAGNESIUM SULFAAT,SORBITAN OLEATE,POTASSIUM SORBATE,CENTELLA ASIATICA LEAF EXTRACT,,,SODIUM HYDROXIDE,Theobroma Cacao (Cocoa) Seed Extract
,MANNOSE,SODIUM HYDROXIDE,DISODIUM EDTA,ASIATICOSIDE,,,CETYL PALMITATE,Musa Sapientum (Banana) Fruit Extract
,CAPRYLOYL GLYCINE,SODIUM PHYTATE,TOCOPHEROL,TASMANNIA LANCEOLATA FRUIT/LEAF EXTRACT,,,PENTYLENE GLYCOL,Ethylhexylglycerin
,CAPRYLYL GLYCOL,LACTIC ACID,LACTIC ACID,PHYTOSPHINGOSINE,,,HYDROLYZED SWEET ALMOND PROTEIN,Limonene
,VITREOSCILLA FERMENT,SODIUM BENZOATE,SODIUM CITRATE,CHOLESTEROL,,,SODIUM LACTATE,Coumarin
,CITRIC ACID,POTASSIUM SORBATE,P-ANISIC ACID,POLYGLYCERYL-6 STEARATE,,,LACTIC ACID,
,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,PHENOXYETHANOL,,BEHENYL ALCOHOL,,,SERINE,
,LACTOBACILLUS,,,LECITHIN,,,UREA,
,ACETYLATED GLYCOL STEARATE,,,CICHORIUM INTYBUS ROOT EXTRACT,,,SORBITOL,
,MALTODEXTRIN,,,CARBOMER,,,CINNAMOMUM ZEYLANICUM BARK OIL,
,POLYGLYCERYL-4 ISOSTEARATE,,,ARACHIDYL GLUCOSIDE,,,VANILLA PLANIFOLIA FRUIT EXTRACT,
,TOCOPHEROL,,,ARGININE,,,SODIUM CHLORIDE,
,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,,,MAGNOLIA OFFICINALIS BARK EXTRACT,,,ALLANTOIN,
,CI 77891 / TITANIUM DIOXIDE,,,POLYACRYLATE CROSSPOLYMER-6,,,CITRUS AURANTIUM PEEL OIL,
,,,,SODIUM LAUROYL LACTYLATE,,,CITRUS LIMON PEEL OIL,
,,,,SODIUM HYALURONATE,,,BENZALDEHYDE,
,,,,TOCOPHEROL,,,CINNAMAL,
,,,,GLYCINE MAX OIL,,,LIMONENE,
,,,,LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE,,,PINENE,
,,,,POLYGLYCERYL-6 BEHENATE,,,VANILLIN,
,,,,DISODIUM EDTA,,,CITRAL,
,,,,T-BUTYL ALCOHOL,,,LINALYL ACETATE,
,,,,CITRIC ACID,,,ANISE ALCOHOL.,
,,,,PHENOXYETHANOL,,,,
,,,,XANTHAN GUM,,,,
,,,,ETHYLHEXYLGLYCERIN,,,,
,,,,SODIUM BENZOATE,,,,
,,,,POTASSIUM SORBATE,,,,
